Escenario,Mes 1,Mes,LS,CeCo,Concepto 1,Concepto,Monto
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7008 - Comunicaciones,Comunicaciones,13339.43
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,11309.33
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7012 - IVA,IVA,37311.72
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7015 - Materiales,Materiales,10899.69
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7001 - Servicios,Servicios,963.11
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7002 - Gastos de Operacion,Gastos de Operacion,4169.55
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7005 - Publicidad,Publicidad,2282.39
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7008 - Comunicaciones,Comunicaciones,231.99
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,5494.45
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7012 - IVA,IVA,1558.49
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7015 - Materiales,Materiales,420.91
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690108000 - Alumnos Mixtos,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,63200
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690108001 - Alumnos OnLine,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,74134.65
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7001 - Servicios,Servicios,558.28
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7002 - Gastos de Operacion,Gastos de Operacion,4257.36
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7005 - Publicidad,Publicidad,1732.86
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7008 - Comunicaciones,Comunicaciones,3.26
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,103.92
Plan Operativo,May Acd AJ,May,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7012 - IVA,IVA,1607.66
Plan Operativo,May Acd AJ,May,LS_13 - Arrendamientos,UF_5691301000 - Arrendamientos,ER_7001 - Servicios,Servicios,25000
Plan Operativo,May Acd AJ,May,LS_13 - Arrendamientos,UF_5691301000 - Arrendamientos,ER_7012 - IVA,IVA,3750
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7002 - Gastos de Operacion,Gastos de Operacion,70030.25
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7008 - Comunicaciones,Comunicaciones,54.86
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,20434.54
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7012 - IVA,IVA,7229.78
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692003001 - Graduaciones,ER_7001 - Servicios,Servicios,3135
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692003001 - Graduaciones,ER_7002 - Gastos de Operacion,Gastos de Operacion,17000
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692003001 - Graduaciones,ER_7012 - IVA,IVA,3020.25
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692007000 - Biblioteca,ER_7012 - IVA,IVA,552
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692007000 - Biblioteca,ER_7016 - Bibliografia,Bibliografia,5395.45
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7001 - Servicios,Servicios,11931.7
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7002 - Gastos de Operacion,Gastos de Operacion,7250.21
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7003 - Gastos de Viaje,Gastos de Viaje,13376.81
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7008 - Comunicaciones,Comunicaciones,1554.37
Plan Operativo,May Acd AJ,May,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7012 - IVA,IVA,5814.02
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7001 - Servicios,Servicios,16816.87
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7002 - Gastos de Operacion,Gastos de Operacion,30423.73
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7003 - Gastos de Viaje,Gastos de Viaje,6873.28
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7012 - IVA,IVA,8267.38
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101002 - Vive Profesional,ER_7001 - Servicios,Servicios,10673.2
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101002 - Vive Profesional,ER_7002 - Gastos de Operacion,Gastos de Operacion,12322.95
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101002 - Vive Profesional,ER_7003 - Gastos de Viaje,Gastos de Viaje,8433.78
Plan Operativo,May Acd AJ,May,LS_21 - Asuntos estudiantiles,UF_5692101002 - Vive Profesional,ER_7012 - IVA,IVA,4895.69
Plan Operativo,May Acd AJ,May,LS_22 - Desarrollo social,UF_5692204000 - Servicio Social,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,9750
Plan Operativo,May Acd AJ,May,LS_23 - Vivencia de Alumnos,UF_5692305000 - Transporte Escolar,ER_7001 - Servicios,Servicios,85946.02
Plan Operativo,May Acd AJ,May,LS_23 - Vivencia de Alumnos,UF_5692305000 - Transporte Escolar,ER_7012 - IVA,IVA,12891.9
Plan Operativo,May Acd AJ,May,LS_40 - Administracion y Finanzas,UF_5694005000 - Abasto/Compras,ER_7002 - Gastos de Operacion,Gastos de Operacion,707.23
Plan Operativo,May Acd AJ,May,LS_40 - Administracion y Finanzas,UF_5694005000 - Abasto/Compras,ER_7012 - IVA,IVA,696.04
Plan Operativo,May Acd AJ,May,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7001 - Servicios,Servicios,27511.12
Plan Operativo,May Acd AJ,May,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7002 - Gastos de Operacion,Gastos de Operacion,23154.3
Plan Operativo,May Acd AJ,May,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7008 - Comunicaciones,Comunicaciones,3150.22
Plan Operativo,May Acd AJ,May,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7012 - IVA,IVA,10564.78
Plan Operativo,May Acd AJ,May,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7015 - Materiales,Materiales,4023.25
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694801000 - Mantenimiento,ER_7002 - Gastos de Operacion,Gastos de Operacion,28564.03
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694801000 - Mantenimiento,ER_7007 - Mantenimiento,Mantenimiento,43430.2
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694801000 - Mantenimiento,ER_7012 - IVA,IVA,10799.14
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694803000 - Servicio de limpieza,ER_7002 - Gastos de Operacion,Gastos de Operacion,22501.99
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694803000 - Servicio de limpieza,ER_7007 - Mantenimiento,Mantenimiento,7866.76
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694803000 - Servicio de limpieza,ER_7009 - Subcontrataciones,Subcontrataciones,143679.78
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694803000 - Servicio de limpieza,ER_7012 - IVA,IVA,26107.27
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694805000 - Servicio de Vigilancia,ER_7009 - Subcontrataciones,Subcontrataciones,174636
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694805000 - Servicio de Vigilancia,ER_7012 - IVA,IVA,26195.4
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7001 - Servicios,Servicios,54110.42
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7002 - Gastos de Operacion,Gastos de Operacion,84602.93
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7006 - Servicios Publicos,Servicios Publicos,48864.99
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7007 - Mantenimiento,Mantenimiento,7089.28
Plan Operativo,May Acd AJ,May,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7012 - IVA,IVA,22199.85
Plan Operativo,May Acd AJ,May,LS_49 - Tecnologias de Informacion,UF_5694999000 - Operacion TI,ER_7004 - Software,Software,261065.81
Plan Operativo,May Acd AJ,May,LS_49 - Tecnologias de Informacion,UF_5694999000 - Operacion TI,ER_7008 - Comunicaciones,Comunicaciones,17950.59
Plan Operativo,May Acd AJ,May,LS_49 - Tecnologias de Informacion,UF_5694999000 - Operacion TI,ER_7012 - IVA,IVA,35412.5
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7001 - Servicios,Servicios,32540.01
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7002 - Gastos de Operacion,Gastos de Operacion,31325.14
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7003 - Gastos de Viaje,Gastos de Viaje,6519.39
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7005 - Publicidad,Publicidad,7286.31
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7008 - Comunicaciones,Comunicaciones,4064.05
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7012 - IVA,IVA,13124.91
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7015 - Materiales,Materiales,343.48
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695102000 - Atraccion Profesional,ER_7001 - Servicios,Servicios,44634.72
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695102000 - Atraccion Profesional,ER_7002 - Gastos de Operacion,Gastos de Operacion,2060.77
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695102000 - Atraccion Profesional,ER_7008 - Comunicaciones,Comunicaciones,2329.21
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695102000 - Atraccion Profesional,ER_7012 - IVA,IVA,10277.75
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695102000 - Atraccion Profesional,ER_7015 - Materiales,Materiales,12438.61
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695103000 - Atraccion Maestria,ER_7001 - Servicios,Servicios,3041.45
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695103000 - Atraccion Maestria,ER_7002 - Gastos de Operacion,Gastos de Operacion,7368.95
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695103000 - Atraccion Maestria,ER_7005 - Publicidad,Publicidad,19985.63
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695103000 - Atraccion Maestria,ER_7008 - Comunicaciones,Comunicaciones,1552.8
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695103000 - Atraccion Maestria,ER_7012 - IVA,IVA,5110.72
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695103000 - Atraccion Maestria,ER_7015 - Materiales,Materiales,325.6
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695104000 - Atraccion Ejecutivo,ER_7001 - Servicios,Servicios,40191.09
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695104000 - Atraccion Ejecutivo,ER_7002 - Gastos de Operacion,Gastos de Operacion,9645.4
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695104000 - Atraccion Ejecutivo,ER_7005 - Publicidad,Publicidad,21396.38
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695104000 - Atraccion Ejecutivo,ER_7008 - Comunicaciones,Comunicaciones,1552.81
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695104000 - Atraccion Ejecutivo,ER_7012 - IVA,IVA,13918.59
Plan Operativo,May Acd AJ,May,LS_51 - Atraccion y Ventas,UF_5695104000 - Atraccion Ejecutivo,ER_7015 - Materiales,Materiales,12222.92
Plan Operativo,May Acd AJ,May,LS_52 - Talento y Cultura,UF_5695299000 - Gestion De Talento Y Cultura,ER_7001 - Servicios,Servicios,5000
Plan Operativo,May Acd AJ,May,LS_52 - Talento y Cultura,UF_5695299000 - Gestion De Talento Y Cultura,ER_7002 - Gastos de Operacion,Gastos de Operacion,14054.59
Plan Operativo,May Acd AJ,May,LS_52 - Talento y Cultura,UF_5695299000 - Gestion De Talento Y Cultura,ER_7003 - Gastos de Viaje,Gastos de Viaje,402.33
Plan Operativo,May Acd AJ,May,LS_52 - Talento y Cultura,UF_5695299000 - Gestion De Talento Y Cultura,ER_7005 - Publicidad,Publicidad,4963.75
Plan Operativo,May Acd AJ,May,LS_52 - Talento y Cultura,UF_5695299000 - Gestion De Talento Y Cultura,ER_7012 - IVA,IVA,4313.62
Plan Operativo,May Acd AJ,May,LS_52 - Talento y Cultura,UF_5695299000 - Gestion De Talento Y Cultura,ER_7015 - Materiales,Materiales,4336.75
Plan Operativo,May Acd AJ,May,LS_99 - Operacion Institucional,UF_5699903000 - Comisiones Bancarias,ER_7011 - Comisiones Bancarias,Comisiones Bancarias,99001.22
Plan Operativo,May Acd AJ,May,LS_99 - Operacion Institucional,UF_5699907000 - Servicios Administrativos,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,1566299.97
Plan Operativo,May Acd AJ,May,LS_99 - Operacion Institucional,UF_5699914000 - PRESTAMO EDUCATIVO PROFESIONAL,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,136665.08
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7001 - Servicios,Servicios,4104.14
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7002 - Gastos de Operacion,Gastos de Operacion,4876.88
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7008 - Comunicaciones,Comunicaciones,104.25
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,3571.9
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7012 - IVA,IVA,3099.64
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7001 - Servicios,Servicios,9539.93
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7002 - Gastos de Operacion,Gastos de Operacion,2360.31
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7003 - Gastos de Viaje,Gastos de Viaje,2534.36
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7008 - Comunicaciones,Comunicaciones,199.73
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,11309.33
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7012 - IVA,IVA,5009.45
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7001 - Servicios,Servicios,2896.45
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7002 - Gastos de Operacion,Gastos de Operacion,8213.31
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7003 - Gastos de Viaje,Gastos de Viaje,266.46
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7008 - Comunicaciones,Comunicaciones,21.09
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,5494.45
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7012 - IVA,IVA,2121.04
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7015 - Materiales,Materiales,420.91
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690108000 - Alumnos Mixtos,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,1303.5
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690108001 - Alumnos OnLine,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,56758.71
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690108002 - Alumnos Connect,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,89033.12
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7001 - Servicios,Servicios,123.36
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7002 - Gastos de Operacion,Gastos de Operacion,1802.95
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7003 - Gastos de Viaje,Gastos de Viaje,6378.68
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7008 - Comunicaciones,Comunicaciones,3.26
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,103.92
Plan Operativo,Jun Acd AJ,Jun,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7012 - IVA,IVA,1871.14
Plan Operativo,Jun Acd AJ,Jun,LS_13 - Arrendamientos,UF_5691301000 - Arrendamientos,ER_7001 - Servicios,Servicios,25000
Plan Operativo,Jun Acd AJ,Jun,LS_13 - Arrendamientos,UF_5691301000 - Arrendamientos,ER_7012 - IVA,IVA,3750
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7002 - Gastos de Operacion,Gastos de Operacion,86693.66
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7008 - Comunicaciones,Comunicaciones,54.86
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,20434.54
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7012 - IVA,IVA,11262.18
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692003001 - Graduaciones,ER_7001 - Servicios,Servicios,205163.81
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692003001 - Graduaciones,ER_7012 - IVA,IVA,30774.57
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692007000 - Biblioteca,ER_7012 - IVA,IVA,552
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692007000 - Biblioteca,ER_7016 - Bibliografia,Bibliografia,5395.45
Plan Operativo,Jun Acd AJ,Jun,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7012 - IVA,IVA,697.05
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7001 - Servicios,Servicios,5370.11
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7002 - Gastos de Operacion,Gastos de Operacion,17628.86
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7003 - Gastos de Viaje,Gastos de Viaje,3364.51
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7012 - IVA,IVA,4235.15
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7015 - Materiales,Materiales,868.84
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101002 - Vive Profesional,ER_7001 - Servicios,Servicios,1751.62
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101002 - Vive Profesional,ER_7002 - Gastos de Operacion,Gastos de Operacion,3379.41
Plan Operativo,Jun Acd AJ,Jun,LS_21 - Asuntos estudiantiles,UF_5692101002 - Vive Profesional,ER_7012 - IVA,IVA,950.86
Plan Operativo,Jun Acd AJ,Jun,LS_22 - Desarrollo social,UF_5692204000 - Servicio Social,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,11995.72
Plan Operativo,Jun Acd AJ,Jun,LS_40 - Administracion y Finanzas,UF_5694005000 - Abasto/Compras,ER_7012 - IVA,IVA,589.95
Plan Operativo,Jun Acd AJ,Jun,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7001 - Servicios,Servicios,17804.71
Plan Operativo,Jun Acd AJ,Jun,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7002 - Gastos de Operacion,Gastos de Operacion,6334.74
Plan Operativo,Jun Acd AJ,Jun,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7008 - Comunicaciones,Comunicaciones,5369.89
Plan Operativo,Jun Acd AJ,Jun,LS_40 - Administracion y Finanzas,UF_5694099000 - Dir Servicios Apoyo,ER_7012 - IVA,IVA,6315.35
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694801000 - Mantenimiento,ER_7002 - Gastos de Operacion,Gastos de Operacion,7773.76
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694801000 - Mantenimiento,ER_7007 - Mantenimiento,Mantenimiento,38008.74
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694801000 - Mantenimiento,ER_7012 - IVA,IVA,6867.38
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694803000 - Servicio de limpieza,ER_7007 - Mantenimiento,Mantenimiento,13091.76
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694803000 - Servicio de limpieza,ER_7009 - Subcontrataciones,Subcontrataciones,143679.78
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694803000 - Servicio de limpieza,ER_7012 - IVA,IVA,23515.73
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694805000 - Servicio de Vigilancia,ER_7009 - Subcontrataciones,Subcontrataciones,120227.1
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694805000 - Servicio de Vigilancia,ER_7012 - IVA,IVA,18034.07
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7001 - Servicios,Servicios,19970.27
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7002 - Gastos de Operacion,Gastos de Operacion,54699.21
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7006 - Servicios Publicos,Servicios Publicos,41945
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7007 - Mantenimiento,Mantenimiento,2975.12
Plan Operativo,Jun Acd AJ,Jun,LS_48 - Planta Fisica,UF_5694899000 - Dir Planta Fisica,ER_7012 - IVA,IVA,10938.15
Plan Operativo,Jun Acd AJ,Jun,LS_49 - Tecnologias de Informacion,UF_5694999000 - Operacion TI,ER_7004 - Software,Software,232385.68
Plan Operativo,Jun Acd AJ,Jun,LS_49 - Tecnologias de Informacion,UF_5694999000 - Operacion TI,ER_7008 - Comunicaciones,Comunicaciones,15978.58
Plan Operativo,Jun Acd AJ,Jun,LS_49 - Tecnologias de Informacion,UF_5694999000 - Operacion TI,ER_7012 - IVA,IVA,31657.55
Plan Operativo,Jun Acd AJ,Jun,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7002 - Gastos de Operacion,Gastos de Operacion,3425.59
Plan Operativo,Jun Acd AJ,Jun,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7003 - Gastos de Viaje,Gastos de Viaje,3176.57
Plan Operativo,Jun Acd AJ,Jun,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7008 - Comunicaciones,Comunicaciones,2964.32
Plan Operativo,Jun Acd AJ,Jun,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7012 - IVA,IVA,2745.45
Plan Operativo,Jun Acd AJ,Jun,LS_51 - Atraccion y Ventas,UF_5695101000 - Atraccion Prepa,ER_7015 - Materiales,Materiales,3315.53
Plan Operativo,Jun Acd AJ,Jun,LS_51 - Atraccion y Ventas,UF_5695102000 - Atraccion Profesional,ER_7002 - Gastos de Operacion,Gastos de Operacion,140
