Línea de Servicio,Cuenta Contable,Real Ago 25,Plan Ago 25,Real Sep 25,Plan Sep 25,Real Oct 25,Plan Oct 25,Real Nov 25,Plan Nov 25,Real Dic 25,Plan Dic 25,Acum Real Ago-Dic 25,Acum Plan Ago-Dic 25,Real Ene 26,Plan Ene 26,Real Feb 26,Plan Feb 26,Real Mar 26,Plan Mar 26,Real Abr 26,Plan Abr 26,Real May 26,Plan May 26,Real Jun 26,Plan Jun 26,Real Jul 26,Plan Jul 26,Acum Real Ene-Jul 26,Acum Plan Ene-Jul 26
LS_03 - Educacion continua, Ingresos Educacion Continua Netos ,109845.84,120820.67,98580,173691.23,308331.58,176678.5,19100,184146.67,97384.77,148749.59,633242.19,804086.66,12603.9,161742.16,,143225.19,,163685.93,,141281.41,,243892.03,,191614.84,,196545.88,12603.9,1241987.44
LS_03 - Educacion continua, Ingresos por Transferencias ,,,,,,,,,,1897115.38,,1897115.38,,,,,,,,,,,,,,1897115.38,,1897115.38
LS_03 - Educacion continua, Ingresos Netos Totales ,109845.84,120820.67,98580,173691.23,308331.58,176678.5,19100,184146.67,97384.77,2045864.97,633242.19,2701202.04,12603.9,161742.16,,143225.19,,163685.93,,141281.41,,243892.03,,191614.84,,2093661.26,12603.9,3139102.82
